date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-02-29,14119.84,101577.53,115697.37,6504.58,9192.78,0.007255,0.156974,0.07496,0.09044,0.169235
2024-03-01,14119.84,101274.02,115393.86,6504.58,8889.27,-0.002623,0.153939,0.085052,0.106858,0.164769
2024-03-04,14119.84,101220.48,115340.32,6504.58,8835.73,-0.000464,0.153403,0.083889,0.102909,0.16408
2024-03-05,14119.84,97526.62,111646.46,6504.58,5141.87,-0.032026,0.116465,0.073056,0.083112,0.121059
2024-03-06,14119.84,101418.81,115538.65,6504.58,9034.06,0.034862,0.155386,0.078494,0.089918,0.16805
2024-03-07,14119.84,102654.94,116774.78,6504.58,10270.19,0.010699,0.167748,0.089199,0.106461,0.181846
2024-03-08,14119.84,101049.04,115168.88,6504.58,8664.29,-0.013752,0.151689,0.082662,0.090489,0.163178
2024-03-11,14119.84,100797.76,114917.6,6504.58,8413.02,-0.002182,0.149176,0.081731,0.086441,0.159747
2024-03-12,50928.12,70014.68,120942.8,13797.9,7144.89,0.052431,0.209428,0.093368,0.102015,0.228625
2024-03-13,15243.43,105971.12,121214.55,13797.9,7416.64,0.002247,0.212146,0.091653,0.093544,0.225883
2024-03-14,15243.43,106392.09,121635.52,13797.9,7837.61,0.003473,0.216355,0.089495,0.090787,0.230194
2024-03-15,15243.43,104249.45,119492.88,13797.9,5694.97,-0.017615,0.194929,0.082014,0.077821,0.204831
2024-03-18,15243.43,105564.35,120807.78,13797.9,7009.87,0.011004,0.208078,0.088445,0.088101,0.220214
2024-03-19,15243.43,106266.51,121509.94,13797.9,7712.03,0.005812,0.215099,0.094494,0.090812,0.228096
2024-03-20,15243.43,107255.65,122499.08,13797.9,8701.18,0.00814,0.224991,0.104617,0.103745,0.239811
2024-03-21,49809.99,73210.28,123020.27,18524.64,4495.62,0.004255,0.230203,0.108267,0.108968,0.246296
2024-03-22,13116.21,109312.26,122428.47,18524.64,3903.82,-0.004811,0.224285,0.106166,0.110237,0.239267
2024-03-25,13116.21,108010.82,121127.03,18524.64,2602.38,-0.01063,0.21127,0.10311,0.106208,0.224666
2024-03-26,13116.21,108600.9,121717.11,18524.64,3192.46,0.004872,0.217171,0.101073,0.102626,0.231919
2024-03-27,13116.21,107379.92,120496.13,18524.64,1971.48,-0.010031,0.204961,0.110326,0.106382,0.217385
2024-03-28,13116.21,107231.51,120347.72,18524.64,1823.07,-0.001232,0.203477,0.110114,0.104342,0.215598
2024-04-01,13116.21,107412.75,120528.96,18524.64,2004.31,0.001506,0.20529,0.108182,0.10668,0.217297
2024-04-02,13116.21,106816.92,119933.13,18524.64,1408.48,-0.004943,0.199331,0.101136,0.097129,0.210758
2024-04-03,13116.21,107326.31,120442.52,18524.64,1917.87,0.004247,0.204425,0.102346,0.099592,0.216638
2024-04-04,13116.21,105319.99,118436.2,18524.64,-88.45,-0.016658,0.184362,0.088891,0.082778,0.193083
2024-04-05,13116.21,106875.27,119991.48,18524.64,1466.83,0.013132,0.199915,0.100266,0.095538,0.210765
2024-04-08,13116.21,106443.09,119559.3,18524.64,1034.65,-0.003602,0.195593,0.100882,0.095861,0.205769
2024-04-09,13116.21,106053.86,119170.07,18524.64,645.42,-0.003256,0.191701,0.102155,0.099915,0.200972
2024-04-10,13116.21,105569.33,118685.54,18524.64,160.88,-0.004066,0.186855,0.091119,0.090315,0.195854
2024-04-11,13116.21,106978.11,120094.32,18524.64,1569.67,0.01187,0.200943,0.099354,0.107725,0.211981
2024-04-12,13116.21,104884.39,118000.6,18524.64,-524.05,-0.017434,0.180006,0.084179,0.090066,0.187866
2024-04-15,13116.21,102767.68,115883.89,18524.64,-2640.76,-0.017938,0.158839,0.070596,0.072133,0.163567
2024-04-16,13116.21,103020.05,116136.26,18524.64,-2388.39,0.002178,0.161363,0.068644,0.072233,0.166328
2024-04-17,13116.21,101624.12,114740.33,18524.64,-3784.33,-0.01202,0.147403,0.062319,0.05915,0.150198
2024-04-18,13116.21,100261.63,113377.84,18524.64,-5146.81,-0.011875,0.133778,0.060133,0.053106,0.135322
2024-04-19,13116.21,98230.13,111346.34,18524.64,-7178.31,-0.017918,0.113463,0.05088,0.031318,0.111599
2024-04-22,13116.21,99010.33,112126.54,18524.64,-6398.11,0.007007,0.121265,0.060558,0.04169,0.120916
2024-04-23,13116.21,100900.55,114016.76,18524.64,-4507.89,0.016858,0.140168,0.073143,0.057235,0.142851
2024-04-24,13116.21,100873.82,113990.03,18524.64,-4534.62,-0.000234,0.1399,0.072634,0.060816,0.142258
2024-04-25,13116.21,99933.3,113049.51,18524.64,-5475.14,-0.008251,0.130495,0.068559,0.055693,0.132324
2024-04-26,13116.21,101888.32,115004.53,18524.64,-3520.12,0.017293,0.150045,0.078682,0.071984,0.154532
2024-04-29,13116.21,101331.88,114448.09,18524.64,-4076.56,-0.004838,0.144481,0.082502,0.076336,0.148504
2024-04-30,46370.51,64882.41,111252.92,15085.16,-3832.25,-0.027918,0.112529,0.065354,0.056041,0.112504
2024-05-01,46370.51,65455.07,111825.58,15085.16,-3259.59,0.005147,0.118256,0.061895,0.048405,0.12431
2024-05-02,46370.51,66448.19,112818.7,15085.16,-2266.47,0.008881,0.128187,0.071827,0.061786,0.138922
2024-05-03,46370.51,67427.91,113798.42,15085.16,-1286.75,0.008684,0.137984,0.085113,0.083126,0.158579
2024-05-06,46370.51,68995.23,115365.74,15085.16,280.57,0.013773,0.153657,0.096319,0.09499,0.183229
2024-05-07,12142.45,102488.4,114630.85,15085.16,-454.33,-0.00637,0.146308,0.097528,0.095165,0.171023
2024-05-08,12142.45,102569.1,114711.55,15085.16,-373.63,0.000704,0.147115,0.097634,0.094518,0.171995
2024-05-09,12142.45,102968.06,115110.51,15085.16,25.34,0.003478,0.151105,0.103959,0.096905,0.176822
2024-05-10,12142.45,103491.79,115634.24,15085.16,549.06,0.00455,0.156342,0.105381,0.099492,0.182905
2024-05-13,12142.45,103145.74,115288.19,15085.16,203.01,-0.002993,0.152882,0.105529,0.102029,0.178886
