date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2021-12-30,51071.93,54733.28,105805.21,5334.66,470.63,-0.003319,0.058052,0.130913,0.166211,0.247655
2021-12-31,51071.93,54349.18,105421.11,5334.66,86.53,-0.00363,0.054211,0.128063,0.158928,0.23805
2022-01-03,55466.72,51229.8,106696.52,5813.21,883.4,0.012098,0.066965,0.134594,0.170085,0.263427
2022-01-04,59766.21,46857.18,106623.39,6125.01,498.47,-0.000685,0.066234,0.134214,0.154908,0.252992
2022-01-05,62505.55,42363.22,104868.77,5345.27,-476.42,-0.016456,0.048688,0.112435,0.119428,0.204788
2022-01-06,65828.17,39190.24,105018.41,5067.93,-49.44,0.001427,0.050184,0.11139,0.118642,0.211163
2022-01-07,69262.86,35422.47,104685.33,5121.58,-436.16,-0.003172,0.046853,0.106996,0.106524,0.196479
2022-01-10,68325.83,36274.6,104600.43,4877.43,-276.93,-0.000811,0.046004,0.105619,0.107252,0.195289
2022-01-11,64596.01,40376.18,104972.19,4877.43,94.84,0.003554,0.049722,0.115689,0.123885,0.210151
2022-01-12,60880.61,44017.56,104898.17,4877.43,20.82,-0.000705,0.048982,0.118705,0.128342,0.214684
2022-01-13,64177.6,39945.2,104122.8,4127.75,-4.88,-0.007392,0.041228,0.103291,0.100115,0.183707
2022-01-14,68095.62,36024.22,104119.84,4499.49,-379.58,-2.8e-05,0.041198,0.103742,0.106961,0.187862
2022-01-18,71499.86,31438.06,102937.92,4020.23,-1082.24,-0.011352,0.029379,0.084195,0.079404,0.150843
2022-01-19,74604.97,27939.13,102544.1,3705.14,-1160.97,-0.003826,0.025441,0.072938,0.067548,0.136781
2022-01-20,84712.77,17259.44,101972.21,2533.12,-560.84,-0.005577,0.019722,0.061062,0.053682,0.1191
2022-01-21,91316.08,9989.7,101305.78,1622.55,-316.71,-0.006535,0.013058,0.040233,0.024465,0.072457
2022-01-24,87682.13,13626.16,101308.29,1622.55,-314.2,2.5e-05,0.013083,0.044651,0.029155,0.07544
2022-01-25,84176.16,16647.18,100823.34,1320.51,-497.11,-0.004787,0.008233,0.031896,0.005298,0.046828
2022-01-26,77025.32,23917.4,100942.72,1320.51,-377.73,0.001184,0.009427,0.029307,0.003725,0.053726
2022-01-27,73025.96,27886.56,100912.52,1026.47,-113.89,-0.000299,0.009125,0.024225,-0.006383,0.031922
2022-01-28,69192.15,32299.27,101491.42,1026.47,465.01,0.005737,0.014914,0.049662,0.024786,0.057815
2022-01-31,69192.15,33029.61,102221.76,1026.47,1195.35,0.007196,0.022218,0.068567,0.057557,0.104691
2022-02-01,65302.66,37144.42,102447.08,1026.47,1420.66,0.002204,0.024471,0.075788,0.064752,0.115873
2022-02-02,73306.82,29386.37,102693.19,1884.06,809.19,0.002402,0.026932,0.086238,0.073403,0.124235
2022-02-03,75794.01,25336.17,101130.18,751.9,378.35,-0.01522,0.011302,0.060706,0.029883,0.08055
2022-02-04,68614.52,32973.21,101587.73,751.9,835.89,0.004524,0.015877,0.065694,0.042875,0.105204
2022-02-07,64978.37,36343.65,101322.02,751.9,570.19,-0.002616,0.01322,0.062274,0.034486,0.10101
2022-02-08,61426.41,40418.58,101844.99,751.9,1093.15,0.005161,0.01845,0.071014,0.046109,0.115897
2022-02-09,65253.09,37312.87,102565.96,1167.64,1398.39,0.007079,0.02566,0.086689,0.068276,0.14343
2022-02-10,58112.92,43574.58,101687.5,1167.64,519.93,-0.008565,0.016875,0.067166,0.044099,0.120706
2022-02-11,54532.3,45524.7,100057.0,847.94,-790.85,-0.016034,0.00057,0.046123,0.010978,0.079654
2022-02-14,54532.3,45583.27,100115.57,847.94,-732.29,0.000585,0.001156,0.042703,0.012231,0.082804
2022-02-15,54532.3,46940.18,101472.48,847.94,624.63,0.013553,0.014725,0.059518,0.037399,0.119352
2022-02-16,50940.39,50419.24,101359.63,847.94,511.77,-0.001112,0.013596,0.060706,0.037137,0.113579
2022-02-17,54199.77,45217.63,99417.4,555.36,-1137.88,-0.019162,-0.005826,0.038048,0.006288,0.071921
2022-02-18,67075.54,31674.96,98750.5,-717.2,-532.23,-0.006708,-0.012495,0.031326,-0.005189,0.059819
2022-02-22,63602.57,34867.54,98470.11,-717.2,-812.62,-0.002839,-0.015299,0.020259,-0.01518,0.046367
2022-02-23,70145.22,27377.17,97522.39,-1348.59,-1128.95,-0.009624,-0.024776,0.002161,-0.040407,0.019283
2022-02-24,66271.78,31702.39,97974.17,-1348.59,-677.17,0.004633,-0.020258,0.017242,-0.00816,0.056703
2022-02-25,59617.09,39148.26,98765.35,-1348.59,114.0,0.008075,-0.012346,0.039687,0.00722,0.075671
2022-02-28,59617.09,39414.18,99031.27,-1348.59,379.92,0.002692,-0.009687,0.037027,0.010221,0.085433
2022-03-01,59418.77,38551.84,97970.61,-1625.26,-404.06,-0.01071,-0.020294,0.021232,-0.005247,0.062295
2022-03-02,63248.19,35647.6,98895.79,-1252.55,148.4,0.009443,-0.011042,0.040019,0.011444,0.084483
2022-03-03,66623.28,31346.0,97969.28,-1651.31,-379.36,-0.009369,-0.020307,0.034841,-0.003004,0.059771
2022-03-04,72518.62,24445.15,96963.77,-2590.72,-445.45,-0.010264,-0.030362,0.026434,-0.017453,0.032013
2022-03-07,78446.98,17662.02,96109.0,-3385.91,-505.02,-0.008815,-0.03891,-0.003825,-0.05369,-0.01158
2022-03-08,78789.61,17164.06,95953.67,-3678.61,-367.65,-0.001616,-0.040463,-0.011377,-0.058089,-0.012655
2022-03-09,75276.91,21311.26,96588.17,-3678.61,266.85,0.006613,-0.034118,0.015129,-0.024182,0.034508
2022-03-10,68984.02,27449.22,96433.24,-3678.61,111.92,-0.001604,-0.035668,0.010545,-0.035018,0.025523
2022-03-11,62200.46,33861.95,96062.41,-3678.61,-258.9,-0.003845,-0.039376,-0.002305,-0.05503,0.003272
2022-03-14,65440.88,29876.99,95317.87,-3950.89,-731.16,-0.007751,-0.046821,-0.009596,-0.073178,-0.017442
2022-03-15,65440.88,30924.15,96365.03,-3950.89,315.99,0.010986,-0.03635,0.012183,-0.044106,0.018625
2022-03-16,65440.88,31686.14,97127.02,-3950.89,1077.98,0.007907,-0.02873,0.034628,-0.008655,0.058804
2022-03-17,61931.08,35726.34,97657.42,-3950.89,1608.39,0.005461,-0.023426,0.047572,0.003346,0.072108
2022-03-18,72626.39,25908.49,98534.88,-2950.34,1485.3,0.008985,-0.014651,0.059046,0.023883,0.094482
2022-03-21,65991.86,32429.06,98420.92,-2950.34,1371.34,-0.001157,-0.015791,0.058736,0.021036,0.091297
2022-03-22,74042.55,25072.69,99115.24,-1756.48,871.8,0.007055,-0.008848,0.071125,0.041102,0.114807
2022-03-23,67000.27,31662.12,98662.39,-1756.48,418.95,-0.004569,-0.013376,0.05733,0.02614,0.100342
2022-03-24,63959.74,35818.9,99778.64,-1284.88,1063.6,0.011314,-0.002214,0.073269,0.048948,0.130098
2022-03-25,57003.57,42786.48,99790.05,-1284.88,1075.0,0.000114,-0.002099,0.07851,0.048073,0.128044
2022-03-28,57003.57,43458.5,100462.07,-1284.88,1747.02,0.006734,0.004621,0.086182,0.064289,0.14603
2022-03-29,61290.12,39647.51,100937.63,-566.16,1503.87,0.004734,0.009376,0.099619,0.082605,0.159796
2022-03-30,61818.59,38453.18,100271.77,-344.35,616.2,-0.006597,0.002718,0.092829,0.070647,0.143732
2022-03-31,64986.28,34477.83,99464.11,-650.56,114.76,-0.008055,-0.005359,0.076009,0.057377,0.122377
2022-04-01,64869.94,34505.22,99375.16,-955.91,331.15,-0.000894,-0.006248,0.079058,0.055364,0.116732
2022-04-04,68579.33,31635.94,100215.27,-607.37,822.72,0.008454,0.002153,0.088302,0.077093,0.140219
2022-04-05,61662.54,37633.55,99296.09,-607.37,-96.47,-0.009172,-0.007039,0.074556,0.053177,0.109307
2022-04-06,67732.48,30457.89,98190.37,-1293.38,-516.17,-0.011136,-0.018096,0.063811,0.030311,0.080697
2022-04-07,67732.48,30681.99,98414.47,-1293.38,-292.07,0.002282,-0.015855,0.069171,0.032761,0.084003
2022-04-08,64289.11,33706.39,97995.5,-1293.38,-711.03,-0.004257,-0.020045,0.066312,0.018324,0.06795
2022-04-11,70058.87,27108.13,97167.0,-2222.65,-610.27,-0.008454,-0.02833,0.048086,-0.005767,0.044203
2022-04-12,73242.77,23919.28,97162.05,-2492.72,-345.14,-5.1e-05,-0.02838,0.044203,-0.009967,0.040636
2022-04-13,73242.77,24402.11,97644.88,-2492.72,137.69,0.004969,-0.023551,0.056163,0.010157,0.062156
2022-04-14,69932.57,27310.01,97242.58,-2492.72,-264.61,-0.00412,-0.027574,0.043012,-0.012942,0.03648
2022-04-18,66662.8,30416.11,97078.91,-2492.72,-428.27,-0.001683,-0.029211,0.043441,-0.012184,0.040785
2022-04-19,59634.31,37944.78,97579.09,-2492.72,71.9,0.005152,-0.024209,0.060285,0.009895,0.062839
2022-04-20,56242.97,41287.29,97530.26,-2492.72,23.06,-0.0005,-0.024697,0.059498,-0.004834,0.040815
2022-04-21,53088.51,43438.77,96527.28,-2695.6,-777.05,-0.010284,-0.034727,0.043655,-0.025425,0.014378
2022-04-22,52906.02,42391.48,95297.5,-2967.94,-1734.49,-0.01274,-0.047025,0.015018,-0.050945,-0.012379
2022-04-25,52906.02,42727.15,95633.17,-2967.94,-1398.82,0.003522,-0.043668,0.020903,-0.038754,-0.000768
2022-04-26,71333.14,22365.14,93698.28,-5231.81,-1069.83,-0.020232,-0.063017,-0.008663,-0.075036,-0.04794
2022-04-27,71069.5,22687.65,93757.15,-5510.48,-732.3,0.000628,-0.062429,-0.005876,-0.076144,-0.053625
2022-04-28,71069.5,23146.23,94215.73,-5510.48,-273.72,0.004891,-0.057843,0.019235,-0.043333,-0.020114
2022-04-29,70809.22,22423.44,93232.66,-6028.42,-738.84,-0.010434,-0.067673,-0.018432,-0.086381,-0.063063
2022-05-02,70809.22,22948.92,93758.14,-6028.42,-213.37,0.005636,-0.062419,-0.012523,-0.071128,-0.040526
2022-05-03,74060.61,19767.11,93827.72,-6304.11,131.92,0.000742,-0.061723,-0.007996,-0.070136,-0.037838
2022-05-04,70549.76,24013.23,94562.99,-5946.66,509.74,0.007836,-0.05437,0.022213,-0.038695,-0.004967
2022-05-05,67446.79,26145.57,93592.36,-5946.66,-460.89,-0.010264,-0.064076,-0.014119,-0.087111,-0.058482
2022-05-06,67446.79,26102.3,93549.09,-5946.66,-504.17,-0.000462,-0.064509,-0.020004,-0.098048,-0.073317
2022-05-09,70552.64,22044.08,92596.72,-6423.51,-979.68,-0.01018,-0.074033,-0.051381,-0.133338,-0.122961
2022-05-10,73570.35,19087.28,92657.63,-6675.57,-666.73,0.000658,-0.073424,-0.049189,-0.12281,-0.110331
2022-05-11,73073.93,19048.91,92122.84,-7252.83,-624.25,-0.005772,-0.078772,-0.064293,-0.148825,-0.1422
2022-05-12,76005.84,15950.69,91956.52,-7564.9,-478.5,-0.001805,-0.080435,-0.06527,-0.150838,-0.143051
2022-05-13,72552.22,19912.14,92464.36,-7564.9,29.33,0.005523,-0.075356,-0.042923,-0.119368,-0.105874
2022-05-16,72552.22,19692.8,92245.02,-7564.9,-190.01,-0.002372,-0.07755,-0.046806,-0.129576,-0.123813
2022-05-17,76339.82,16814.37,93154.19,-7033.59,187.86,0.009856,-0.068458,-0.027199,-0.107031,-0.0935
2022-05-18,73255.78,19150.08,92405.86,-7033.59,-560.48,-0.008033,-0.075941,-0.066414,-0.150867,-0.145983
