signal,hedge,on%,wf_dSharpe,wf_dMaxDD,wf_pos%,ep_hit%,ep_dMaxDD,vsRand_dMaxDD,giveup_full,ret_full,sharpe_full,maxdd_full
dd60>5%,short_QQQ,26.8,-0.10452712648013514,0.025327076780014706,66.66666666666666,76.92307692307693,0.01877483410466984,0.05832645155184879,7.228919641504415,14.331107558495567,1.2279487413839283,0.3499068787325613
dd60>5%,short_SMH,26.8,-0.24616374289310686,0.01892673755192489,55.55555555555556,61.53846153846154,0.014012630874076022,0.04999506496639611,12.048788409455835,9.511238790544148,1.0864659887201624,0.35965138859381085
dd60>5%,long_SOXS,26.8,-0.8308843071851403,-0.06328380704934611,22.22222222222222,23.076923076923077,-0.05391635489647453,-0.012772944469711223,21.04023962632001,0.519787573679974,0.2942156469983318,0.5841862530391743
losers_leading,long_PSQ,50.1,-0.26997606640862776,0.013638416845975283,66.66666666666666,92.3076923076923,0.014466643125985872,-0.057513087974376875,12.937416757202163,8.62261044279782,1.0269073563760853,0.45222315122221235
losers_leading,short_QQQ,50.1,-0.30657713136086007,0.011144959860353687,66.66666666666666,84.61538461538461,0.013043555443643124,-0.05685341175895331,13.737261304902068,7.822765895097914,0.9924138551072782,0.4583944920017927
losers_leading,short_SMH,50.1,-0.38853142574055155,0.023323344211320415,77.77777777777779,92.3076923076923,0.021205215602315405,-0.03940335696670011,15.978903594692245,5.581123605307738,0.8960780523821166,0.4535541245828122
losers_leading,long_SOXS,50.1,-1.0514352459517786,-0.07826904531927364,22.22222222222222,61.53846153846154,-0.02074433597075193,-0.022058927664626138,21.65022104100614,-0.09019384100615813,0.1225073270268238,0.6531978680812404
book_down_2sig,long_PSQ,2.7,-0.10256218158406748,-0.011067821819113009,22.22222222222222,23.076923076923077,-0.010274037457526163,-0.006557557447179452,5.652162211336236,15.907864988663746,1.1465650955567774,0.40441838956295395
book_down_2sig,short_QQQ,2.7,-0.10339575651500717,-0.01123012204326632,22.22222222222222,23.076923076923077,-0.010397892332127127,-0.0064249022109560405,5.717030648570191,15.842996551429792,1.1453844993234668,0.40572031827868327
book_down_2sig,short_SMH,2.7,-0.13029279944488853,-0.016130104340978786,0.0,7.6923076923076925,-0.014586139833945078,-0.016894846587967915,7.300552871753384,14.259474328246599,1.1115208176769789,0.4184703896084181
book_down_2sig,long_SOXS,2.7,-0.3765786800918273,-0.048660473610169945,22.22222222222222,23.076923076923077,-0.043419194596691565,-0.16008858213978094,15.40432548128219,6.1557017187177925,0.825257621453161,0.579767525596155
vol>20 & qqq<50dma,long_PSQ,12.1,0.004148161340812417,0.025584853244700043,44.44444444444444,38.46153846153847,0.018007222370152877,0.029250838109085686,0.9714669005786831,20.5885602994213,1.3001010369553274,0.36833727447507336
vol>20 & qqq<50dma,short_QQQ,12.1,-0.0011690083710753393,0.025139819592456085,44.44444444444444,38.46153846153847,0.017648461343737296,0.03369350221675482,1.2265759695668983,20.333451230433084,1.2959541841468485,0.36940730962234236
vol>20 & qqq<50dma,short_SMH,12.1,-0.03855790627076323,0.023258665524589796,44.44444444444444,38.46153846153847,0.016723434086689946,0.03370091073102055,2.788078832525205,18.771948367474778,1.2691453581879442,0.36832083075888533
vol>20 & qqq<50dma,long_SOXS,12.1,-0.21946495229920085,-0.008776489889694816,22.22222222222222,23.076923076923077,-0.005357411870838969,0.08532984562529938,11.279397187572,10.280630012427983,0.9330163343813619,0.4006936539113318
vol>20 & spread20_neg,long_PSQ,12.0,-0.04587955595943302,0.015203950645478118,44.44444444444444,30.76923076923077,0.00943640364173214,0.03138588231677264,3.548935161576832,18.01109203842315,1.2256101295604818,0.3683372744750735
vol>20 & spread20_neg,short_QQQ,12.0,-0.05130316828288144,0.014636457871335261,44.44444444444444,30.76923076923077,0.008967048443508775,0.03203484844553861,3.77385477532831,17.786172424671673,1.2211585913475433,0.36940730962234214
vol>20 & spread20_neg,short_SMH,12.0,-0.048086864240840764,0.019019977697352048,44.44444444444444,30.76923076923077,0.01248554258244822,0.0372051847895673,3.536903824064794,18.02312337593519,1.2262139318023169,0.36832083075888533
vol>20 & spread20_neg,long_SOXS,12.0,-0.19824040036587592,-0.025452895442545573,22.22222222222222,15.384615384615385,-0.014554858167595129,-0.03119050549574376,11.460293761114668,10.099733438885314,0.9380667827081031,0.4896037652645189
vol>20 & losers_leading,long_PSQ,9.8,-0.05678231603031477,0.0024604477087481046,22.22222222222222,23.076923076923077,0.0009271739157608552,0.002830687063537174,3.4232899779569372,18.136737222043045,1.215981011815236,0.3986939112828103
vol>20 & losers_leading,short_QQQ,9.8,-0.06386628910386474,0.0016704033891245837,22.22222222222222,23.076923076923077,0.00032530933265717543,-0.0005377746487453261,3.7150537018193397,17.844973498180643,1.2103347206961224,0.3997440299697237
vol>20 & losers_leading,short_SMH,9.8,-0.06958184115714466,0.0024640921996256842,22.22222222222222,23.076923076923077,0.0015787170903188452,0.0076487929829078816,4.274361910461732,17.28566528953825,1.1998688221276983,0.3993698562934346
vol>20 & losers_leading,long_SOXS,9.8,-0.1762125941041662,-0.0005154770303599356,22.22222222222222,15.384615384615385,-0.007006652337716459,0.06466799879842011,9.470471340589507,12.089555859410476,1.011656212766439,0.41469112373881045
